"","regions","average_price_index"
"1","Alberta",67.7461197339246
"2","Atlantic Region",77.5007390983001
"3","British Columbia",91.6580931263858
"4","Calgary, Alberta",59.9342465753425
"5","Canada",72.5444227005871
"6","Charlottetown, Prince Edward Island",93.5655004859086
"7","Edmonton, Alberta",67.0720808871494
"8","Greater Sudbury, Ontario",86.2771689497717
"9","Guelph, Ontario",111.667916666667
"10","Halifax, Nova Scotia",76.6303509979353
"11","Hamilton, Ontario",73.7604044357469
"12","Kelowna, British Columbia",109.651666666667
"13","Kitchener-Cambridge-Waterloo, Ontario",79.5521852576647
"14","London, Ontario",79.0305936073059
"15","Manitoba",66.7232815964523
"16","Montréal, Quebec",72.7797129810828
"17","New Brunswick",89.0022172949002
"18","Newfoundland and Labrador",69.1790096082779
"19","Nova Scotia",79.0353288987435
"20","Ontario",77.2852919438285
"21","Oshawa, Ontario",109.875833333333
"22","Ottawa-Gatineau, Ontario part, Ontario/Quebec",79.4799739073712
"23","Ottawa-Gatineau, Quebec part, Ontario/Quebec",107.000416666667
"24","Prairie Region",67.6005912786401
"25","Prince Edward Island",93.5655004859086
"26","Quebec",77.2390243902439
"27","Québec, Quebec",70.4890410958904
"28","Regina, Saskatchewan",55.7125244618395
"29","Saint John, Fredericton, and Moncton, New Brunswick",85.2860404435747
"30","Saskatchewan",64.1262379896526
"31","Saskatoon, Saskatchewan",63.6783431180691
"32","Sherbrooke, Quebec",103.943333333333
"33","St. Catharines-Niagara, Ontario",73.4151337247228
"34","St. John's, Newfoundland and Labrador",65.2784735812133
"35","Toronto, Ontario",69.5310502283105
"36","Trois-Rivières, Quebec",104.3
"37","Vancouver, British Columbia",88.6658838878017
"38","Victoria, British Columbia",103.030071754729
"39","Windsor, Ontario",89.6599478147423
"40","Winnipeg, Manitoba",62.3176125244618
