year,month,regions,property_type,price_index
1981,1,Canada,Total (house and land),38.2
1981,1,Canada,House only,36.1
1981,1,Canada,Land only,40.6
1981,1,"St. John's, Newfoundland and Labrador",Total (house and land),36.1
1981,1,"St. John's, Newfoundland and Labrador",House only,37.5
1981,1,"St. John's, Newfoundland and Labrador",Land only,31.4
1981,1,"Halifax, Nova Scotia",Land only,32.5
1981,1,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),55.9
1981,1,"Saint John, Fredericton, and Moncton, New Brunswick",House only,61.4
1981,1,"Saint John, Fredericton, and Moncton, New Brunswick",Land only,38
1981,1,"Quebec, Quebec",Total (house and land),30.1
1981,1,"Quebec, Quebec",House only,34.9
1981,1,"Quebec, Quebec",Land only,19.8
1981,1,"Montreal, Quebec",Total (house and land),28.5
1981,1,"Montreal, Quebec",House only,30
1981,1,"Montreal, Quebec",Land only,20.3
1981,1,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),32.6
1981,1,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",House only,30.8
1981,1,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Land only,39.9
1981,1,"Toronto, Ontario",Total (house and land),28
1981,1,"Toronto, Ontario",House only,22.6
1981,1,"Toronto, Ontario",Land only,39.1
1981,1,"Hamilton, Ontario",Total (house and land),30.3
1981,1,"Hamilton, Ontario",House only,24.8
1981,1,"Hamilton, Ontario",Land only,46
1981,1,"St. Catharines-Niagara, Ontario",Total (house and land),30.6
1981,1,"St. Catharines-Niagara, Ontario",House only,28.3
1981,1,"St. Catharines-Niagara, Ontario",Land only,35.6
1981,1,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),34
1981,1,"Kitchener-Cambridge-Waterloo, Ontario",House only,30.4
1981,1,"Kitchener-Cambridge-Waterloo, Ontario",Land only,43.4
1981,1,"London, Ontario",Total (house and land),31.8
1981,1,"London, Ontario",House only,27
1981,1,"London, Ontario",Land only,51
1981,1,"Windsor, Ontario",Total (house and land),61.2
1981,1,"Windsor, Ontario",House only,64.9
1981,1,"Windsor, Ontario",Land only,47.5
1981,1,"Greater Sudbury, Ontario",Total (house and land),54.7
1981,1,"Greater Sudbury, Ontario",House only,54.6
1981,1,"Greater Sudbury, Ontario",Land only,51.4
1981,1,"Winnipeg, Manitoba",Total (house and land),26.6
1981,1,"Winnipeg, Manitoba",House only,29.3
1981,1,"Winnipeg, Manitoba",Land only,18.7
1981,1,"Regina, Saskatchewan",Total (house and land),19.8
1981,1,"Regina, Saskatchewan",House only,20.7
1981,1,"Regina, Saskatchewan",Land only,16.7
1981,1,"Saskatoon, Saskatchewan",Total (house and land),33
1981,1,"Saskatoon, Saskatchewan",House only,35.8
1981,1,"Saskatoon, Saskatchewan",Land only,26
1981,1,"Calgary, Alberta",Total (house and land),25.3
1981,1,"Calgary, Alberta",House only,27.8
1981,1,"Calgary, Alberta",Land only,19.4
1981,1,"Edmonton, Alberta",Total (house and land),35.8
1981,1,"Edmonton, Alberta",House only,36.5
1981,1,"Edmonton, Alberta",Land only,32.7
1981,1,"Vancouver, British Columbia",Total (house and land),90.5
1981,1,"Vancouver, British Columbia",House only,96.1
